filename,class,width,height,size_bytes,filepath
CPH-Asellus sp.-87-t.png,Asellus sp,600,338,273264,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-87-t.png
CPH-Asellus sp.-151-t.png,Asellus sp,600,338,251712,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-151-t.png
CPH-Asellus sp.-114-t.png,Asellus sp,600,338,279611,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-114-t.png
CPH-Asellus sp.-250-t.png,Asellus sp,600,338,260198,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-250-t.png
CPH-Asellus sp.-191-t.png,Asellus sp,600,338,259093,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-191-t.png
CPH-Asellus sp.-47-t.png,Asellus sp,600,450,374890,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-47-t.png
CPH-Asellus sp.-228-t.png,Asellus sp,600,338,257633,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-228-t.png
CPH-Asellus sp.-290-t.png,Asellus sp,600,450,355460,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-290-t.png
CPH-Asellus sp.-129-t.png,Asellus sp,600,338,259909,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-129-t.png
CPH-Asellus sp.-3-t.png,Asellus sp,600,450,340792,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-3-t.png
CPH-Asellus sp.-148-t.png,Asellus sp,600,338,242037,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-148-t.png
CPH-Asellus sp.-63-t.png,Asellus sp,600,338,274571,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-63-t.png
